day,status,runtime_s,events,depth,trades,mark,ticker,open_interest,liquidations,out_of_order,duplicates,outside_window,final_id_nonmonotonic,prev_id_mismatch,book_checks,book_crossed,book_missing_side,spread_min,spread_mean,spread_max,fills,round_trips,win_rate,net_pnl_usdt,gross_pnl_usdt,fees_usdt,realized_pnl_usdt,fees_paid_usdt,max_drawdown_usdt,eq_min,eq_max,error
2025-07-01,OK,408.702,3060873,845967,2044106,86400,83150,288,962,0,1419502,0,0,0,169,0,0,0.09999999999126885,0.10769230769332375,1.3999999999941792,48,47,0.1702127659574468,-3.996172649999991,1.0049000000000095,5.00107265,-4.0019898430379905,5.00107265,-4.420756393038002,-4.218276493037997,0.20247990000000582,
2025-07-02,OK,436.633,3635132,844269,2618227,86182,84918,287,1249,0,1753562,0,0,3,168,1,0,0.09999999999126885,0.11556886227616363,2.6999999999970896,48,47,0.2553191489361702,-3.071209799999871,1.999200000000128,5.070409799999999,-3.079341010669871,5.070409799999999,-3.7998138664698655,-3.3633410106698656,0.43647285579999995,
2025-07-03,OK,502.032,3357793,845234,2341205,86328,83860,287,879,0,1586415,0,0,2,169,1,0,0.09999999999126885,0.10000000000114337,0.10000000000582077,54,53,0.11320754716981132,-7.647513349999923,-1.8476999999999233,5.79981335,-7.64591926198331,5.79981335,-7.59114671198331,-7.59114671198331,0.0,
2025-07-04,OK,806.287,2973683,845140,1957347,86398,83612,287,899,0,1333333,0,0,2,169,0,0,0.09999999999126885,0.12130177514887616,3.6999999999970896,47,46,0.15217391304347827,-5.296677099999991,-0.3025999999999911,4.9940771,-5.289301610467399,4.9940771,-5.542821845977396,-5.541530999597397,0.001290846379998975,
2025-07-05,OK,541.526,1743791,843621,735113,86400,78173,287,197,0,445126,0,0,0,168,0,0,0.09999999999126885,0.10000000000027717,0.10000000000582077,63,62,0.04838709677419355,-7.264360450000021,-0.56610000000002,6.698260450000001,-7.256735082382697,6.698260450000001,-7.203682835282701,-7.203682835282701,0.0,
2025-07-06,OK,642.266,2285749,844058,1276594,86332,77957,287,521,0,853517,0,0,1,168,1,0,0.09999999999126885,0.10000000000067967,0.10000000000582077,48,47,0.14893617021276595,-4.307061150000131,0.7854999999998693,5.09256115,-4.306382141094131,5.09256115,-4.445825191094123,-4.445825191094123,0.0,
2025-07-07,OK,915.881,2802829,844883,1787737,86399,82805,288,717,0,1237963,0,0,3,168,1,0,0.09999999999126885,0.10000000000102822,0.10000000000582077,55,54,0.16666666666666666,-6.193566149999982,-0.3316999999999801,5.861866150000002,-6.192720121874982,5.861866150000002,-6.6943570718749825,-6.316118171874982,0.37823890000000004,
2025-07-08,OK,860.519,2672408,844846,1657391,86400,82829,287,655,0,1137186,0,0,1,168,1,0,0.09999999999126885,0.10239520958104745,0.5,52,51,0.13725490196078433,-6.321815350000017,-0.7893000000000185,5.532515349999999,-6.322866604009018,5.532515349999999,-6.723564154009024,-6.294430054009018,0.4291341000000058,
2025-07-09,OK,905.099,3559829,845652,2542579,86397,83704,288,1209,0,1751466,0,0,2,169,2,0,0.09999999999126885,0.10059880239540128,0.19999999999708962,51,50,0.26,-4.511864149999931,0.9537000000000697,5.4655641500000005,-4.512810174391931,5.4655641500000005,-5.329367520041921,-5.115684220041915,0.21368330000000585,
2025-07-10,OK,1032.798,4445930,846230,3426162,86395,84990,287,1866,0,2355685,0,0,3,169,1,0,0.09999999999126885,0.10000000000001733,0.10000000000582077,41,40,0.2,0.40503205000001435,4.897500000000018,4.492467950000002,0.4123838928430143,4.492467950000002,-3.657727840586951,-3.233202892756947,2.621163146463042,
